Style,Sale,First on site,Last sale
'0301,-1,N/A,20180105
'0499,-1,N/A,20140205
'0510,-1,N/A,20141202
'0512,-1,N/A,20130813
'0516,-1,N/A,20150107
'0522,-1,N/A,20131011
'0525,-1,N/A,20140317
'0547,-1,N/A,20140507
'0555,-1,N/A,20140409
'0557,-1,N/A,20180507
'0560,-1,N/A,20140528
'0563,-1,N/A,20140804
'0566,-1,N/A,N/A
'0582,-1,N/A,20170202
'0583,-1,N/A,20150714
'0586,-1,N/A,20180212
'0599,-1,N/A,20150223
'0605,-1,N/A,20141201
'0606,-1,N/A,20140414
'0607,-1,N/A,20150918
'0609,-1,N/A,20150728
'0612,-1,N/A,20140414
'0614,-1,N/A,20150601
'0620,-1,N/A,20140407
'0621,-1,N/A,20150910
'0624,-1,N/A,20141016
'0625C,-1,N/A,20150702
'0626,-1,N/A,20150429
'0628,-1,N/A,20150727
'0629,-1,N/A,20150406
'0630,-1,N/A,20151208
'0640,-1,N/A,20150331
'0644,-1,N/A,20141211
'0650,13,N/A,20190130
'0651,-1,N/A,20170710
'0654,1,N/A,20190104
'0655,3,N/A,20190111
'0656,-1,N/A,20150420
'0659,-1,N/A,20150417
'0669,-1,N/A,20151006
'0673,-1,N/A,20150710
'0674,-1,N/A,20150623
'0677,-1,N/A,20150902
'0702,-1,N/A,20140508
'0708,25,N/A,20190128
'0709,-1,N/A,20181105
'0710,25,N/A,20190128
'0711,3,N/A,20190114
'0711A,-1,N/A,20180723
'0712,-1,N/A,20150916
'0713,-1,N/A,20150706
'0714,-1,N/A,20150615
'0714B,-1,N/A,20160311
'0715,-1,N/A,20160205
'0716,-1,N/A,20160107
'0720,-1,N/A,20150316
'0721,-1,N/A,20160217
'0724,-1,N/A,20150928
'0728,-1,N/A,20151221
'0730,-1,N/A,N/A
'0733,-1,N/A,20150925
'0744,-1,N/A,20150817
'0750,-1,N/A,20150420
'0752,-1,N/A,20161205
'0760,-1,N/A,20160505
'0765,-1,N/A,20160822
'0801,-1,N/A,20161208
'0804,-1,N/A,20160606
'0805,-1,N/A,20160523
'0806,-1,N/A,20160324
'0807,-1,N/A,20160324
'0809,-1,N/A,20151231
'0810,-1,N/A,20151130
'0811,-1,N/A,20170213
'0813,-1,N/A,20170308
'0816,-1,N/A,N/A
'0817,-1,N/A,20160815
'0818,2,N/A,20190124
'0820,-1,N/A,20160229
'0820B,-1,N/A,20160609
'0822,1,N/A,20190104
'0823,20,N/A,20190124
'0824,29,N/A,20190122
'0825,1,N/A,20181204
'0829,-1,N/A,20170705
'0831,-1,N/A,20171020
'0860,-1,N/A,20160920
'0863,-1,N/A,20170203
'0863B,-1,N/A,20170510
'0864,-1,N/A,20170727
'0866,-1,N/A,20170510
'0867,5,N/A,20190122
'0869,-1,N/A,20170516
'0871,-1,N/A,20170824
'0872,-1,N/A,20170519
'0873,-1,N/A,20161206
'0875,-1,N/A,20171218
'0877,-1,N/A,20180904
'0878,-1,N/A,20171107
'0879,-1,N/A,20171023
'0889,-1,N/A,20180831
'0895,-1,N/A,20180611
'0899,-1,N/A,20180820
'0903,-1,N/A,20181016
'0907,5,N/A,20190102
'0908,6,N/A,20190124
'0918,19,N/A,20190128
'D1325,-1,N/A,N/A
'D1335,-1,N/A,20181009
'D1336,-1,N/A,N/A
'D1337,-1,N/A,20180719
'D1338,-1,N/A,N/A
'D1339,-1,N/A,N/A
'D1340,-1,N/A,N/A
'D1342,4,N/A,20190128
'D1343,-1,N/A,20180906
'D1423,-1,N/A,20180305
'D1423B,-1,N/A,20180605
'D1435,-1,N/A,20181003
'D1437,-1,N/A,20170303
'D1443,-1,N/A,20160707
'D1444,-1,N/A,20180228
'D1446,-1,N/A,20181001
'D1450,-1,N/A,20181107
'D1451,-1,N/A,20181113
'D1453,-1,N/A,20180911
'D1454,-1,N/A,20170809
'D1455,-1,N/A,20170711
'D1456,-1,N/A,20170419
'D1457,-1,N/A,20180529
'D1458,-1,N/A,20181112
'D1459,-1,N/A,20180611
'D1460,-1,N/A,20170414
'D1466,-1,N/A,N/A
'D1468,-1,N/A,20170907
'D1469,-1,N/A,20180730
'D1472,-1,N/A,20180809
'D1474,-1,N/A,N/A
'D1476,-1,N/A,N/A
'D1477,-1,N/A,20180817
'D1483,-1,N/A,20180710
'D1484,-1,N/A,20181010
'D1485,-1,N/A,20180626
'D1486,-1,N/A,20180904
'D1488,-1,N/A,20181003
'D1489,-1,N/A,20180709
'D1491,-1,N/A,20180316
'D1494,-1,N/A,20180330
'D1495,-1,N/A,N/A
'D1496,-1,N/A,20180625
'D1497,-1,N/A,N/A
'D1498,-1,N/A,20181003
'D1499,-1,N/A,20180919
'G0807,-1,N/A,20160718
'G0810,-1,N/A,20170508
'G0844,-1,N/A,20181121
'G1001,-1,N/A,20180510
'G1002,-1,N/A,20160314
'G1003,-1,N/A,20171207
'G1004,-1,N/A,20151130
'G1005,-1,N/A,20160303
'G1006,-1,N/A,20160428
'G1007,6,N/A,20190124
'G1009,-1,N/A,20160607
'G1010,-1,N/A,20180202
'G1011,16,N/A,20190128
'G1012,-1,N/A,20160715
'G1013,-1,N/A,20170523
'G1014,-1,N/A,20170213
'G1015,-1,N/A,20160302
'G1016,-1,N/A,20170518
'G1017,-1,N/A,20170306
'G1018,-1,N/A,20180904
'G1019,-1,N/A,20160425
'G1020,-1,N/A,20160609
'G1021,-1,N/A,20160729
'G1022,-1,N/A,20170501
'G1023,-1,N/A,20170505
'G1024,-1,N/A,20160722
'G1025,-1,N/A,20170504
'G1026,-1,N/A,20180507
'G1028,-1,N/A,20170724
'G1029,-1,N/A,20180117
'G1030,-1,N/A,20171227
'G1031,-1,N/A,20180308
'G1032,-1,N/A,20180608
'G1037,-1,N/A,20180126
'G1039,-1,N/A,20181002
'G1042,-1,N/A,20181009
'G1044,-1,N/A,20180611
'G1046,-1,N/A,20180503
'G1047,-1,N/A,20180906
'G1048,-1,N/A,20180809
'G1049,-1,N/A,20180619
'G1050,-1,N/A,20180607
'G1051,10,N/A,20190116
'G1052,-1,N/A,20180518
'G1053,-1,N/A,20180711
'G1055,-1,N/A,20180905
'G1056,-1,N/A,20180730
'G1059,-1,N/A,20181029
'G1060,-1,N/A,20181009
'G1061,-1,N/A,20180430
'G1062,-1,N/A,20181107
'G1063,-1,N/A,20180726
'G1066,1,N/A,20190122
'G1080,-1,N/A,20181016
'G1082,-1,N/A,N/A
'G1088,13,N/A,20190114
'H0723,-1,N/A,20170213
'H0812/13,-1,N/A,N/A
'H0829,-1,N/A,20170906
'H0832/35,-1,N/A,20180110
'H0843,-1,N/A,20170417
'H0847,-1,N/A,20161107
'H0852,-1,N/A,20170721
'H0861,-1,N/A,N/A
'HD1454,-1,N/A,20170731
'HD1468/69,-1,N/A,20180829
'HG0810/22,-1,N/A,20170911
'HG1023/24 hite/Pin,-1,N/A,N/A
'HG1029/30,-1,N/A,20180321
'HG1032,-1,N/A,20180329
'HG1037/39,-1,N/A,20180511
'HG1040,-1,N/A,20180712
'HM935,-1,N/A,20170719
'HM935B,-1,N/A,20170508
'HM936,-1,N/A,20170519
'HM944,-1,N/A,20180508
'HM947,-1,N/A,20170608
'HM948,-1,N/A,20181031
'HM95,-1,N/A,N/A
'HM951,-1,N/A,20180504
'HM952,-1,N/A,20180103
'HM953,-1,N/A,20181120
'HM954,-1,N/A,20180423
'HM956,-1,N/A,20180420
'HM957,-1,N/A,20181108
'HM958,4,N/A,20190107
'HM959,-1,N/A,20180928
'HM960,-1,N/A,20180611
'HM961,1,N/A,20181217
'HM962,-1,N/A,20180719
'HM964,-1,N/A,20180813
'HR1020,-1,N/A,20180912
'HR1030,1,N/A,20190114
'HR1031,-1,N/A,20181112
'HR1035,-1,N/A,20170905
'HR1036,-1,N/A,20180608
'HR1037,1,N/A,20181214
'HR1038,-1,N/A,20181108
'HR1039,-1,N/A,20180416
'HR1040,-1,N/A,20170510
'HR1041,-1,N/A,N/A
'HR1042,-1,N/A,20170526
'HR1043,-1,N/A,20161010
'HR1044,-1,N/A,20170427
'HR1045,-1,N/A,20161019
'HR1047,-1,N/A,20170522
'HR1048,-1,N/A,20170530
'HR1051,-1,N/A,20170302
'HR1052,-1,N/A,20181003
'P1012,-1,N/A,20180511
'S0301,-1,N/A,20180723
'S0710,-1,N/A,20180413
'S0711,-1,N/A,20180205
'S0712,-1,N/A,20181015
'S0712B,-1,N/A,20180301
'S0712C,-1,N/A,N/A
'S0713,-1,N/A,20170509
'S0714,-1,N/A,20180725
