,,8,10,12,14,16,18,,,
STYLE NO,COLOR,14W,16W,18W,20W,22W,24W,26W,,
D1503,PURPLE,,14,25,35,32,30,,,136
D1503,APPLE GREEN,,14,24,35,35,27,,,135
D1503,WHITE,,13,24,33,26,29,,,125
D1503W,PURPLE,15,25,24,25,19,20,13,,141
D1503W,APPLE GREEN,14,24,23,25,24,16,14,,140
D1503W,WHITE,15,25,25,24,18,20,15,,142
D1504,CHAMPAGNE,7,14,27,35,35,26,,,144
D1504,PINK,8,15,23,29,27,26,,,128
D1504W,CHAMPAGNE,20,27,28,25,25,21,15,,161
D1504W,WHITE,20,28,28,16,25,12,15,,144
D1504W,PINK,11,25,23,20,20,15,10,,124
D1505,OLIVE,10,15,25,35,30,25,,,140
D1505W,OLIVE,12,20,20,15,12,8,,,87
D1506,OLIVE,,15,25,32,33,25,,,130
D1506W,OLIVE,20,25,24,25,15,10,,,119
G1070,PURPLE,,14,19,30,31,23,,,117
G1070,RED,,15,19,29,29,25,,,117
G1070,WHITE,,13,20,29,29,25,,,116
G1070W,PURPLE,14,23,25,25,18,20,13,,138
G1070W,RED,14,25,25,25,20,20,14,,143
G1070W,WHITE,14,24,25,25,22,20,14,,144
G1072,PURPLE,,15,20,29,29,23,,,116
G1072,APPLE GREEN,,7,19,30,30,25,,,111
G1072,WHITE,,15,29,40,38,29,,,151
G1072W,PURPLE,15,25,30,29,18,20,,,137
G1072W,APPLE GREEN,14,27,30,28,27,20,,,146
G1072W,WHITE,13,24,25,27,25,20,,,134
G1074,PINK,,15,24,30,40,25,,,134
G1074,APPLE GREEN,,14,20,30,30,24,,,118
G1074,WHITE,,13,30,39,35,26,,,143
G1074W,PINK,14,25,30,27,25,19,15,,155
G1074W,APPLE GREEN,15,24,25,25,20,18,12,,139
G1074W,WHITE,15,30,30,28,25,20,15,,163
D1507,WHITE,,15,30,35,35,24,,,139
D1507W,WHITE,15,20,25,25,20,15,,,120
